,Version,Category,RFC Link,Docs,Notes,,
// 7.0,,,,,,,
"scalar types, strict_types=1",7.0,Type System,https://wiki.php.net/rfc/scalar_type_hints_v5,https://www.php.net/manual/en/language.types.declarations.php,,,
return types,7.0,Type System,https://wiki.php.net/rfc/return_types,,,,
    '?? null coalesce',7.0,,https://wiki.php.net/rfc/isset_ternary,,,,
    '<=>',7.0,Syntax,https://wiki.php.net/rfc/combined-comparison-operator,,,,
    'constants containing arrays',7.0,,,,,,
    'anonymous classes',7.0,,https://wiki.php.net/rfc/anonymous_classes,,,,
'\\u{0000aa}',7.0,,https://wiki.php.net/rfc/unicode_escape,,,,
    'Group use imports',7.0,,https://wiki.php.net/rfc/group_use_declarations,,,,
"    // generator return expressions, delegation",,,https://wiki.php.net/rfc/generator-delegation,,,,
throwable,7.0,New interface,https://wiki.php.net/rfc/throwable-interface,,,,
"random_byes, random_int",7.0,New function,https://wiki.php.net/rfc/easy_userland_csprng,,,,
,,,,,,,
// 7.1,,,,,,,
    '?nullable',7.1,Type System,https://wiki.php.net/rfc/nullable_types,,,,
return void,7.1,Type System,https://wiki.php.net/rfc/void_return_type,,,,
    'iterable',7.1,Type System,https://wiki.php.net/rfc/iterable,,,,
"    ‘[$a, $b] = $array",7.1,Syntax,https://wiki.php.net/rfc/short_list_syntax,,,,
    'class constant visiblity',7.1,OOP,https://wiki.php.net/rfc/class_const_visibility,,,,
    'catch (A|B $e)',7.1,,https://wiki.php.net/rfc/multiple-catch,,,,
    'keys in list() destructuring',7.1,Syntax,https://wiki.php.net/rfc/list_keys,,,,
    'negative string offsets',7.1,,https://wiki.php.net/rfc/negative-string-offsets,,,,
    'pcntl_async_signals',7.1,,https://wiki.php.net/rfc/async_signals,,,,
,,,,,,,
// 7.2,,,,,,,
    'object type',7.2,Type System,https://wiki.php.net/rfc/object-typehint,,,,
    'override abstract method in extension',7.2,Type System,https://wiki.php.net/rfc/allow-abstract-function-override,,,,
    'sodium in core',7.2,,https://wiki.php.net/rfc/libsodium,,,,
'argon2i pw hash',7.2,,https://wiki.php.net/rfc/argon2_password_hash,,,,
    'LSP-compatible parameter type widening',7.2,Type System,https://wiki.php.net/rfc/parameter-no-type-variance,,,,
    'groupd namespace trailing comma',7.2,Syntax,https://wiki.php.net/rfc/list-syntax-trailing-commas,,,,
,,,,,,,
// 7.3,,,,,,,
    'Flexible Heredoc+Nowdoc',7.3,Syntax,https://wiki.php.net/rfc/flexible_heredoc_nowdoc_syntaxes,,,,
    'References in array destructiring',7.3,Syntax,https://wiki.php.net/rfc/list_reference_assignment,,,,
    'Function call trailing commas',7.3,Syntax,https://wiki.php.net/rfc/trailing-comma-function-calls,,,,
    'generally improved mbstring',7.3,,,,,,
JSON_THROW_ON_ERROR,7.3,New constant,https://wiki.php.net/rfc/json_throw_on_error,,,,
is_countable,7.3,New function,https://wiki.php.net/rfc/is-countable,,,,
,,,,,,,
// 7.4,,,,,,,
    'typed class properties',7.4,Type System,https://wiki.php.net/rfc/typed_properties_v2,,,,
    'Arrow functions (fn () => returnValue)',7.4,Syntax,https://wiki.php.net/rfc/arrow_functions_v2,,,,
    'improved covariance/contravariance',7.4,Type System,https://wiki.php.net/rfc/covariant-returns-and-contravariant-parameters,,,,
    '??=',7.4,Syntax,https://wiki.php.net/rfc/null_coalesce_equal_operator,,,,
    'Unpacking inside arrays',7.4,Syntax,https://wiki.php.net/rfc/spread_operator_for_array,,,,
'Numeric literal separator (1_000)',7.4,Syntax,https://wiki.php.net/rfc/numeric_literal_separator,,,,
    'WeakReference class',7.4,New class,https://wiki.php.net/rfc/weakrefs,,,,
